"OldPath","NewPath","Usage"
"Resource\Model\Idle.mv1","Resource\3Dモデル\キャラクターとアニメーション\11_待機アニメーション.mv1","プレイヤー・敵・店員の待機で使用"
"Resource\Model\Run.mv1","Resource\3Dモデル\キャラクターとアニメーション\12_走りアニメーション.mv1","プレイヤー・敵・店員の走りで使用"
"Resource\Model\Dying.mv1","Resource\3Dモデル\キャラクターとアニメーション\13_死亡アニメーション.mv1","敵の死亡で使用"
"Resource\Model\MagicAttack.mv1","Resource\3Dモデル\キャラクターとアニメーション\14_魔法攻撃アニメーション.mv1","魔法攻撃で使用"
"Resource\Model\Attack.mv1","Resource\3Dモデル\キャラクターとアニメーション\15_攻撃アニメーション１.mv1","敵攻撃・プレイヤースライド攻撃で使用"
"Resource\Model\Attack_3.mv1","Resource\3Dモデル\キャラクターとアニメーション\16_通常攻撃アニメーション.mv1","プレイヤー通常攻撃で使用"
"Resource\Model\Jump Attack.mv1","Resource\3Dモデル\キャラクターとアニメーション\17_ジャンプ攻撃アニメーション.mv1","プレイヤー・ボス・敵のジャンプ攻撃で使用"
"Resource\Model\kaihi.mv1","Resource\3Dモデル\キャラクターとアニメーション\18_回避アニメーション.mv1","プレイヤー回避で使用"
"Resource\Model\Attack_player.mv1","Resource\3Dモデル\キャラクターとアニメーション\未使用候補\01_プレイヤー攻撃アニメーション旧版.mv1","コード参照なし"
"Resource\Model\Charge.mv1","Resource\3Dモデル\キャラクターとアニメーション\未使用候補\02_チャージアニメーション.mv1","コード参照なし"
"Resource\Model\Female Action Pose.mv1","Resource\3Dモデル\キャラクターとアニメーション\未使用候補\03_女性アクションポーズ.mv1","コード参照なし"
"Resource\Model\Great Sword Slash.mv1","Resource\3Dモデル\キャラクターとアニメーション\未使用候補\04_大剣斬撃アニメーション.mv1","コード参照なし"
"Resource\Model\Gunplay.mv1","Resource\3Dモデル\キャラクターとアニメーション\未使用候補\05_銃アクションアニメーション.mv1","コード参照なし"
"Resource\Model\Jump.mv1","Resource\3Dモデル\キャラクターとアニメーション\未使用候補\06_ジャンプアニメーション.mv1","コード参照なし"
"Resource\Model\Jumping Up.mv1","Resource\3Dモデル\キャラクターとアニメーション\未使用候補\07_上昇ジャンプアニメーション.mv1","コード参照なし"
"Resource\Model\Knight D Pelegrini.mv1","Resource\3Dモデル\キャラクターとアニメーション\未使用候補\08_騎士モデル.mv1","コード参照なし"
"Resource\Model\Knight D Pelegrini.fbx","Resource\3Dモデル\キャラクターとアニメーション\未使用候補\09_騎士元モデル.fbx","コード参照なし"
"Resource\Model\Landing.mv1","Resource\3Dモデル\キャラクターとアニメーション\未使用候補\10_着地アニメーション.mv1","コード参照なし"
"Resource\Model\LAttack.mv1","Resource\3Dモデル\キャラクターとアニメーション\未使用候補\11_左攻撃アニメーション.mv1","コード参照なし"
"Resource\Model\Player.mv1","Resource\3Dモデル\キャラクターとアニメーション\未使用候補\12_プレイヤーモデル旧版.mv1","コード参照なし"
"Resource\Model\Running Slide.mv1","Resource\3Dモデル\キャラクターとアニメーション\未使用候補\13_走りスライドアニメーション.mv1","コード参照なし"
"Resource\Model\Slash.mv1","Resource\3Dモデル\キャラクターとアニメーション\未使用候補\14_斬撃アニメーション.mv1","コード参照なし"
"Resource\Model\Slide.mv1","Resource\3Dモデル\キャラクターとアニメーション\未使用候補\15_スライドアニメーション.mv1","コード参照なし"
"Resource\Model\Jump Attack.fbm","Resource\3Dモデル\キャラクターとアニメーション\素材一式\Jump Attack.fbm","モデル・アニメーション用の元テクスチャ素材一式"
"Resource\Model\Knight D Pelegrini.fbm","Resource\3Dモデル\キャラクターとアニメーション\素材一式\Knight D Pelegrini.fbm","モデル・アニメーション用の元テクスチャ素材一式"
"Resource\Model\Paladin J Nordstrom.fbm","Resource\3Dモデル\キャラクターとアニメーション\素材一式\Paladin J Nordstrom.fbm","モデル・アニメーション用の元テクスチャ素材一式"
"Resource\Model\Paladin WProp J Nordstrom (1).fbm","Resource\3Dモデル\キャラクターとアニメーション\素材一式\Paladin WProp J Nordstrom (1).fbm","モデル・アニメーション用の元テクスチャ素材一式"
"Resource\Model\Running Slide.fbm","Resource\3Dモデル\キャラクターとアニメーション\素材一式\Running Slide.fbm","モデル・アニメーション用の元テクスチャ素材一式"
"Resource\Model\shop.fbm","Resource\3Dモデル\キャラクターとアニメーション\素材一式\shop.fbm","モデル・アニメーション用の元テクスチャ素材一式"
"Resource\Model\T-Pose (1).fbm","Resource\3Dモデル\キャラクターとアニメーション\素材一式\T-Pose (1).fbm","モデル・アニメーション用の元テクスチャ素材一式"
"Resource\Model\Taunt.fbm","Resource\3Dモデル\キャラクターとアニメーション\素材一式\Taunt.fbm","モデル・アニメーション用の元テクスチャ素材一式"
"Resource\Model\Warrok W Kurniawan.fbm","Resource\3Dモデル\キャラクターとアニメーション\素材一式\Warrok W Kurniawan.fbm","モデル・アニメーション用の元テクスチャ素材一式"
"Resource\3D\Sabel.mv1","Resource\3Dモデル\武器\01_剣モデル.mv1","プレイヤー・敵の右手装備で使用"
"Resource\3D\Coin\coin.mv1","Resource\3Dモデル\小物\コイン\01_コインモデル.mv1","コイン用モデル（現状パス参照なし）"
"Resource\3D\low-poly-campfire\source\campfire.mv1","Resource\3Dモデル\小物\焚き火\01_焚き火モデル.mv1","ステージ上の焚き火で使用"
"Resource\3D\low-poly-campfire\source\campfire.fbx","Resource\3Dモデル\小物\焚き火\02_焚き火元モデル.fbx","焚き火モデルの元データ"
"Resource\3D\portal\source\portal.mv1","Resource\3Dモデル\小物\ポータル\01_ポータルモデル.mv1","ボス入口ポータルで使用"
"Resource\3D\portal\source\FloatingIslandAndPortal.fbx","Resource\3Dモデル\小物\ポータル\02_ポータル元モデル.fbx","ポータルモデルの元データ"
"Resource\3D\Rock\mossy-rock\source\Rock Low Poly.mv1","Resource\3Dモデル\小物\岩\01_岩モデル.mv1","ステージ配置データで岩として使用"
"Resource\3D\Rock\mossy-rock\source\rock1_color.jpg","Resource\3Dモデル\小物\岩\02_岩テクスチャ.jpg","岩モデルのテクスチャで使用"
"Resource\3D\Stage\Stage00.mv1","Resource\3Dモデル\ステージ\通常ステージ\01_通常ステージモデル.mv1","ゲーム本編・タイトル・リザルトのステージで使用"
"Resource\3D\Stage\Stage00_c.mv1","Resource\3Dモデル\ステージ\通常ステージ\02_通常ステージ当たり判定モデル.mv1","通常ステージの当たり判定で使用"
"Resource\3D\Stage\Stage01.mv1","Resource\3Dモデル\ステージ\通常ステージ\未使用候補\01_ステージモデル旧版.mv1","コード参照なし"
"Resource\3D\Stage\Stage01_c.mv1","Resource\3Dモデル\ステージ\通常ステージ\未使用候補\02_ステージ当たり判定モデル旧版.mv1","コード参照なし"
"Resource\3D\Stage_casule\source\Parede castelo.mv1","Resource\3Dモデル\ステージ\城壁\01_城壁モデル.mv1","ステージ配置データで城壁として使用"
"Resource\3D\Stage_casule\source\Parede castelo.fbx","Resource\3Dモデル\ステージ\城壁\02_城壁元モデル.fbx","城壁モデルの元データ"
"Resource\3D\stage_sky\source\Flooting_Stage.mv1","Resource\3Dモデル\背景\浮遊島\01_浮遊島モデル.mv1","背景の浮遊島ステージで使用"
"Resource\3D\SkyBox\SkyBox.x","Resource\3Dモデル\背景\空\01_空ドームモデル.x","空背景モデルで使用"
"Resource\3D\SkyBox\sky001.jpg","Resource\3Dモデル\背景\空\02_空テクスチャ.jpg","空背景テクスチャで使用"
"Resource\3D\SkyBox\sky000.jpg","Resource\3Dモデル\背景\空\未使用候補\01_空テクスチャ旧版.jpg","コード参照なし"
"Resource\3D\SkyBox\skydome003.jpg","Resource\3Dモデル\背景\空\未使用候補\02_空ドームテクスチャ旧版.jpg","コード参照なし"
"Resource\3D\Tree_central\tree-gn\source\TreeGen.mv1","Resource\3Dモデル\小物\木\01_木モデル.mv1","ステージ配置データで木として使用"
"Resource\3D\Tree_central\tree-gn\source\TreeGen.fbx","Resource\3Dモデル\小物\木\02_木元モデル.fbx","木モデルの元データ"
"Resource\3D\low-poly-campfire","Resource\3Dモデル\小物\焚き火\素材一式","焚き火モデル用テクスチャ素材一式"
"Resource\3D\portal","Resource\3Dモデル\小物\ポータル\素材一式","ポータルモデル用テクスチャ素材一式"
"Resource\3D\Rock","Resource\3Dモデル\小物\岩\素材一式","岩モデル用テクスチャ素材一式"
"Resource\3D\Stage","Resource\3Dモデル\ステージ\通常ステージ\素材一式","通常ステージ用テクスチャ素材一式"
"Resource\3D\Stage_casule","Resource\3Dモデル\ステージ\城壁\素材一式","城壁モデル用テクスチャ素材一式"
"Resource\3D\stage_sky","Resource\3Dモデル\背景\浮遊島\素材一式","浮遊島モデル用テクスチャ素材一式"
"Resource\3D\Tree_central","Resource\3Dモデル\小物\木\素材一式","木モデル用テクスチャ素材一式"
"Resource\3D\box.mqoz","Resource\3Dモデル\未使用候補\01_箱モデル.mqoz","コード参照なし"
"Resource\3D\bullet.mv1","Resource\3Dモデル\未使用候補\02_弾モデル１.mv1","コード参照なし"
"Resource\3D\bullet1.mv1","Resource\3Dモデル\未使用候補\03_弾モデル２.mv1","コード参照なし"
"Resource\3D\Bush.mv1","Resource\3Dモデル\未使用候補\04_茂みモデル１.mv1","コード参照なし"
"Resource\3D\Bush1.mv1","Resource\3Dモデル\未使用候補\05_茂みモデル２.mv1","コード参照なし"
"Resource\3D\Hero.mv1","Resource\3Dモデル\未使用候補\06_ヒーローモデル.mv1","コード参照なし"
"Resource\3D\MasicAttack.mv1","Resource\3Dモデル\未使用候補\07_魔法攻撃モデル.mv1","コード参照なし"
"Resource\3D\wp.tga","Resource\3Dモデル\未使用候補\08_武器テクスチャ.tga","コード参照なし"
"Resource\effect\MAGICAL\Mahoujin.efkproj","Resource\エフェクト\魔法陣\01_魔法陣エフェクト.efkproj","ポータル上の魔法陣エフェクト読み込みで使用"
"Resource\effect\MAGICAL\Mahoujin.efk","Resource\エフェクト\魔法陣\02_魔法陣エフェクト再生用.efk","ボスポータル演出で使用"
"Resource\effect\Pierre02\JumpAttack.efk","Resource\エフェクト\ジャンプ攻撃\01_ジャンプ攻撃エフェクト.efk","ジャンプ攻撃時のエフェクトで使用"
"Resource\effect\Pierre02\JumpAttack.efkproj","Resource\エフェクト\ジャンプ攻撃\02_ジャンプ攻撃エフェクト編集用.efkproj","ジャンプ攻撃エフェクトの編集用データ"
"Resource\effect\sword\SlideAttackEffect.efkproj","Resource\エフェクト\スライド攻撃\01_スライド攻撃エフェクト.efkproj","スライド攻撃時のエフェクトで使用"
"Resource\effect\sword\SlideAttackEffect.efk","Resource\エフェクト\スライド攻撃\02_スライド攻撃エフェクト再生用.efk","スライド攻撃エフェクトの再生用データ"
"Resource\effect\MAGICAL","Resource\エフェクト\魔法陣\素材一式","魔法陣エフェクト用素材一式"
"Resource\effect\Pierre02","Resource\エフェクト\ジャンプ攻撃\素材一式","ジャンプ攻撃エフェクト用素材一式"
"Resource\effect\sword","Resource\エフェクト\スライド攻撃\素材一式","スライド攻撃エフェクト用素材一式"
