type,model_path,p1x,p1y,p1z,p2x,p2y,p2z,p3x,p3y,p3z,cr,cg,cb,ca
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-5050,0,-3490,12.8,0,0,0,-1.5708,0,,,,,
object_stage,Resource/3D/ステージ/柵/配置用柵１.mv1,-5050,0,-4490,12.8,0,0,0,-1.5708,0,,,,,
rock,Resource/3D/ステージ/石/石.mv1,5200,0,5800,2.5,0,0,0,0.5,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,6100,0,6300,1.8,0,0,0,1.2,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,7000,0,5200,3.2,0,0,0,2.1,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,5500,0,7200,1.5,0,0,0,0.8,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,6800,0,7000,2.8,0,0,0,3.0,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-5300,0,5600,2.1,0,0,0,1.8,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-6200,0,6800,3.0,0,0,0,0.3,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-7100,0,5400,1.7,0,0,0,2.5,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-5700,0,7300,2.4,0,0,0,1.0,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-6900,0,6200,1.3,0,0,0,3.5,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,5100,0,-5700,2.7,0,0,0,0.7,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,6400,0,-6100,1.9,0,0,0,2.8,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,7200,0,-5300,3.1,0,0,0,1.5,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,5800,0,-7000,1.6,0,0,0,0.2,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,6700,0,-7400,2.3,0,0,0,3.8,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-5400,0,-5500,2.0,0,0,0,1.3,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-6100,0,-6900,3.3,0,0,0,2.2,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-7300,0,-5100,1.4,0,0,0,0.9,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-5600,0,-7200,2.6,0,0,0,4.1,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-6800,0,-6400,1.8,0,0,0,3.2,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,1200,0,6000,2.2,0,0,0,5.0,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-800,0,7100,1.7,0,0,0,0.6,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,2500,0,5800,3.0,0,0,0,2.7,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-2100,0,6500,1.5,0,0,0,4.5,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,3800,0,7300,2.8,0,0,0,1.1,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,800,0,-6200,2.0,0,0,0,3.7,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-1500,0,-5700,1.9,0,0,0,5.8,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,3000,0,-7000,2.5,0,0,0,2.3,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-3500,0,-6400,1.3,0,0,0,0.4,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,4200,0,-5900,3.2,0,0,0,4.9,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,5500,0,1500,2.1,0,0,0,1.6,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,6300,0,-2000,1.8,0,0,0,3.1,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,7100,0,3000,2.7,0,0,0,5.2,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,5800,0,-4000,1.4,0,0,0,0.8,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,6600,0,4200,3.0,0,0,0,2.4,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-5200,0,2800,2.3,0,0,0,4.7,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-6400,0,-1800,1.6,0,0,0,1.9,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-7000,0,4000,2.9,0,0,0,6.1,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-5700,0,-3500,1.2,0,0,0,3.4,0,0.4,0.7,0.3,1.0
rock,Resource/3D/ステージ/石/石.mv1,-6100,0,1000,2.5,0,0,0,5.7,0,0.4,0.7,0.3,1.0
mountain,Resource/3D/ステージ/山/山地形.mv1,0,0,13000,30,50,30,0,3.14159,0,0.2,0.3,0.2,1.0
mountain,Resource/3D/ステージ/山/山地形.mv1,0,0,-13000,30,50,30,0,0,0,0.2,0.3,0.2,1.0
mountain,Resource/3D/ステージ/山/山地形.mv1,13000,0,0,30,50,30,0,-1.5708,0,0.2,0.3,0.2,1.0
mountain,Resource/3D/ステージ/山/山地形.mv1,-13000,0,0,30,50,30,0,1.5708,0,0.2,0.3,0.2,1.0
wall,,0,0,5000,-5000,5000,0,5000,0,0,,,,,
wall,,0,0,-5000,-5000,5000,0,5000,0,0,,,,,
wall,,5000,0,0,0,5000,5000,0,0,-5000,,,,,
wall,,-5000,0,0,0,5000,5000,0,0,-5000,,,,,
